"PrefectureCode","MunicipalityCode","MunicipalityCodeInt","PrefectureJP","PrefectureKana","PrefectureEN","MunicipalityJP","MunicipalityKana","MunicipalityRomaji","MunicipalityEN"
"01","01101",1101,北海道,ホッカイドウ,Hokkaido,札幌市中央区,サッポロシチュウオウク,Sapporo Shi Chuo Ku,"Chuo Ward,Sapporo City"
"01","01102",1102,北海道,ホッカイドウ,Hokkaido,札幌市北区,サッポロシキタク,Sapporo Shi Kita Ku,"Kita Ward,Sapporo City"
"01","01103",1103,北海道,ホッカイドウ,Hokkaido,札幌市東区,サッポロシヒガシク,Sapporo Shi Higashi Ku,"Higashi Ward,Sapporo City"
"01","01104",1104,北海道,ホッカイドウ,Hokkaido,札幌市白石区,サッポロシシロイシク,Sapporo Shi Shiroishi Ku,"Shiroishi Ward,Sapporo City"
"01","01105",1105,北海道,ホッカイドウ,Hokkaido,札幌市豊平区,サッポロシトヨヒラク,Sapporo Shi Toyohira Ku,"Toyohira Ward,Sapporo City"
"01","01106",1106,北海道,ホッカイドウ,Hokkaido,札幌市南区,サッポロシミナミク,Sapporo Shi Minami Ku,"Minami Ward,Sapporo City"
"01","01107",1107,北海道,ホッカイドウ,Hokkaido,札幌市西区,サッポロシニシク,Sapporo Shi Nishi Ku,"Nishi Ward,Sapporo City"
"01","01108",1108,北海道,ホッカイドウ,Hokkaido,札幌市厚別区,サッポロシアツベツク,Sapporo Shi Atsubetsu Ku,"Atsubetsu Ward,Sapporo City"
"01","01109",1109,北海道,ホッカイドウ,Hokkaido,札幌市手稲区,サッポロシテイネク,Sapporo Shi Teine Ku,"Teine Ward,Sapporo City"
"01","01110",1110,北海道,ホッカイドウ,Hokkaido,札幌市清田区,サッポロシキヨタク,Sapporo Shi Kiyota Ku,"Kiyota Ward,Sapporo City"
"01","01202",1202,北海道,ホッカイドウ,Hokkaido,函館市,ハコダテシ,Hakodate Shi,Hakodate City
"01","01203",1203,北海道,ホッカイドウ,Hokkaido,小樽市,オタルシ,Otaru Shi,Otaru City
"01","01204",1204,北海道,ホッカイドウ,Hokkaido,旭川市,アサヒカワシ,Asahikawa Shi,Asahikawa City
"01","01205",1205,北海道,ホッカイドウ,Hokkaido,室蘭市,ムロランシ,Muroran Shi,Muroran City
"01","01206",1206,北海道,ホッカイドウ,Hokkaido,釧路市,クシロシ,Kushiro Shi,Kushiro City
"01","01207",1207,北海道,ホッカイドウ,Hokkaido,帯広市,オビヒロシ,Obihiro Shi,Obihiro City
"01","01208",1208,北海道,ホッカイドウ,Hokkaido,北見市,キタミシ,Kitami Shi,Kitami City
"01","01209",1209,北海道,ホッカイドウ,Hokkaido,夕張市,ユウバリシ,Yubari Shi,Yubari City
"01","01210",1210,北海道,ホッカイドウ,Hokkaido,岩見沢市,イワミザワシ,Iwamizawa Shi,Iwamizawa City
"01","01211",1211,北海道,ホッカイドウ,Hokkaido,網走市,アバシリシ,Abashiri Shi,Abashiri City
"01","01212",1212,北海道,ホッカイドウ,Hokkaido,留萌市,ルモイシ,Rumoi Shi,Rumoi City
"01","01213",1213,北海道,ホッカイドウ,Hokkaido,苫小牧市,トマコマイシ,Tomakomai Shi,Tomakomai City
"01","01214",1214,北海道,ホッカイドウ,Hokkaido,稚内市,ワッカナイシ,Wakkanai Shi,Wakkanai City
"01","01215",1215,北海道,ホッカイドウ,Hokkaido,美唄市,ビバイシ,Bibai Shi,Bibai City
"01","01216",1216,北海道,ホッカイドウ,Hokkaido,芦別市,アシベツシ,Ashibetsu Shi,Ashibetsu City
"01","01217",1217,北海道,ホッカイドウ,Hokkaido,江別市,エベツシ,Ebetsu Shi,Ebetsu City
"01","01218",1218,北海道,ホッカイドウ,Hokkaido,赤平市,アカビラシ,Akabira Shi,Akabira City
"01","01219",1219,北海道,ホッカイドウ,Hokkaido,紋別市,モンベツシ,Mombetsu Shi,Mombetsu City
"01","01220",1220,北海道,ホッカイドウ,Hokkaido,士別市,シベツシ,Shibetsu Shi,Shibetsu City
"01","01221",1221,北海道,ホッカイドウ,Hokkaido,名寄市,ナヨロシ,Nayoro Shi,Nayoro City
"01","01222",1222,北海道,ホッカイドウ,Hokkaido,三笠市,ミカサシ,Mikasa Shi,Mikasa City
"01","01223",1223,北海道,ホッカイドウ,Hokkaido,根室市,ネムロシ,Nemuro Shi,Nemuro City
"01","01224",1224,北海道,ホッカイドウ,Hokkaido,千歳市,チトセシ,Chitose Shi,Chitose City
"01","01225",1225,北海道,ホッカイドウ,Hokkaido,滝川市,タキカワシ,Takikawa Shi,Takikawa City
"01","01226",1226,北海道,ホッカイドウ,Hokkaido,砂川市,スナガワシ,Sunagawa Shi,Sunagawa City
"01","01227",1227,北海道,ホッカイドウ,Hokkaido,歌志内市,ウタシナイシ,Utashinai Shi,Utashinai City
"01","01228",1228,北海道,ホッカイドウ,Hokkaido,深川市,フカガワシ,Fukagawa Shi,Fukagawa City
"01","01229",1229,北海道,ホッカイドウ,Hokkaido,富良野市,フラノシ,Furano Shi,Furano City
"01","01230",1230,北海道,ホッカイドウ,Hokkaido,登別市,ノボリベツシ,Noboribetsu Shi,Noboribetsu City
"01","01231",1231,北海道,ホッカイドウ,Hokkaido,恵庭市,エニワシ,Eniwa Shi,Eniwa City
"01","01233",1233,北海道,ホッカイドウ,Hokkaido,伊達市,ダテシ,Date Shi,Date City
"01","01234",1234,北海道,ホッカイドウ,Hokkaido,北広島市,キタヒロシマシ,Kitahiroshima Shi,Kitahiroshima City
"01","01235",1235,北海道,ホッカイドウ,Hokkaido,石狩市,イシカリシ,Ishikari Shi,Ishikari City
"01","01236",1236,北海道,ホッカイドウ,Hokkaido,北斗市,ホクトシ,Hokuto Shi,Hokuto City
"01","01303",1303,北海道,ホッカイドウ,Hokkaido,石狩郡当別町,イシカリグントウベツチョウ,Ishikari Gun Tobetsu Cho,Ishikari District Tobetsu Town
"01","01304",1304,北海道,ホッカイドウ,Hokkaido,石狩郡新篠津村,イシカリグンシンシノツムラ,Ishikari Gun Shinshinotsu Mura,Ishikari District Shinshinotsu Village
"01","01331",1331,北海道,ホッカイドウ,Hokkaido,松前郡松前町,マツマエグンマツマエチョウ,Matsumae Gun Matsumae Cho,Matsumae District Matsumae Town
"01","01332",1332,北海道,ホッカイドウ,Hokkaido,松前郡福島町,マツマエグンフクシマチョウ,Matsumae Gun Fukushima Cho,Matsumae District Fukushima Town
"01","01333",1333,北海道,ホッカイドウ,Hokkaido,上磯郡知内町,カミイソグンシリウチチョウ,Kamiiso Gun Shiriuchi Cho,Kamiiso District Shiriuchi Town
"01","01334",1334,北海道,ホッカイドウ,Hokkaido,上磯郡木古内町,カミイソグンキコナイチョウ,Kamiiso Gun Kikonai Cho,Kamiiso District Kikonai Town
"01","01337",1337,北海道,ホッカイドウ,Hokkaido,亀田郡七飯町,カメダグンナナエチョウ,Kameda Gun Nanae Cho,Kameda District Nanae Town
"01","01343",1343,北海道,ホッカイドウ,Hokkaido,茅部郡鹿部町,カヤベグンシカベチョウ,Kayabe Gun Shikabe Cho,Kayabe District Shikabe Town
"01","01345",1345,北海道,ホッカイドウ,Hokkaido,茅部郡森町,カヤベグンモリマチ,Kayabe Gun Mori Machi,Kayabe District Mori Town
"01","01346",1346,北海道,ホッカイドウ,Hokkaido,二海郡八雲町,フタミグンヤクモチョウ,Futami Gun Yakumo Cho,Futami District Yakumo Town
"01","01347",1347,北海道,ホッカイドウ,Hokkaido,山越郡長万部町,ヤマコシグンオシャマンベチョウ,Yamakoshi Gun Oshamambe Cho,Yamakoshi District Oshamambe Town
"01","01361",1361,北海道,ホッカイドウ,Hokkaido,檜山郡江差町,ヒヤマグンエサシチョウ,Hiyama Gun Esashi Cho,Hiyama District Esashi Town
