No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
1,Residential Land(Land and Building),Residential Area,21201,Gifu Prefecture,Gifu City,Aoyagicho,Gifu,30-60minutes,30,60,2500000,,75,0,,,Semi-rectangular Shaped,7.0,False,30,0,,0,W,House,House,Southeast,City Road,6.0,Category II Residential Zone,60.0,200.0,3rd quarter 2019,2019,3,,
2,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Aoyagicho,Gifu,28,28,28,17000000,,180,0,97000.0,320000.0,Rectangular Shaped,13.2,False,,0,,0,,,Other,West,City Road,6.0,Commercial Zone,80.0,400.0,3rd quarter 2019,2019,3,,
3,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Aoyagicho,Gifu,28,28,28,17000000,,180,0,97000.0,320000.0,Semi-square Shaped,13.0,False,,0,,0,,,Other,West,City Road,6.0,Commercial Zone,80.0,400.0,2nd quarter 2019,2019,2,,
4,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Aoyagicho,Gifu,28,28,28,2700000,,40,0,70000.0,230000.0,Semi-square Shaped,6.0,False,,0,,0,,,House,West,City Road,6.0,Category II Residential Zone,60.0,200.0,3rd quarter 2018,2018,3,,
5,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Aoyagicho,Gifu,28,28,28,7100000,,100,0,70000.0,230000.0,Irregular Shaped,5.0,False,,0,,0,,,House,West,City Road,6.0,Category II Residential Zone,60.0,200.0,3rd quarter 2018,2018,3,,
6,Residential Land(Land and Building),Residential Area,21201,Gifu Prefecture,Gifu City,Aoyagicho,Gifu,28,28,28,100000,,55,0,,,Semi-rectangular Shaped,6.0,False,,0,,0,W,House,,West,Road,1.0,Category II Residential Zone,60.0,200.0,2nd quarter 2018,2018,2,,
7,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Aoyagicho,Gifu,28,28,28,16000000,,160,0,100000.0,330000.0,Semi-square Shaped,13.0,False,,0,,0,,,Warehouse,South,City Road,5.5,Category II Residential Zone,60.0,200.0,1st quarter 2017,2017,1,,
8,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Aoyagicho,Gifu,29,29,29,40000000,,570,0,70000.0,230000.0,Semi-rectangular Shaped,21.3,False,,0,,0,,,Other,North,City Road,8.0,Category II Residential Zone,60.0,200.0,1st quarter 2017,2017,1,,
9,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Aoyagicho,Gifu,30-60minutes,30,60,14000000,,160,0,86000.0,290000.0,Semi-rectangular Shaped,9.0,False,,0,,0,,,House,Southeast,City Road,6.0,Category II Residential Zone,60.0,200.0,3rd quarter 2016,2016,3,,
10,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Aoyagicho,Gifu,29,29,29,3100000,,50,0,62000.0,200000.0,Semi-shaped,6.5,False,,0,,0,,,Other,South,City Road,7.7,Category II Exclusively Medium-high Residential Zone,60.0,200.0,4th quarter 2015,2015,4,,
11,Residential Land(Land and Building),Residential Area,21201,Gifu Prefecture,Gifu City,Aoyagicho,Gifu,29,29,29,14000000,,145,0,,,Rectangular Shaped,9.5,False,125,0,,0,W,House,,South,City Road,6.0,Category II Residential Zone,60.0,200.0,4th quarter 2015,2015,4,,
12,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Aoyagicho,Gifu,29,29,29,15000000,,210,0,69000.0,230000.0,Rectangular Shaped,11.5,False,,0,,0,,,Other,North,City Road,4.0,Category II Residential Zone,60.0,200.0,2nd quarter 2015,2015,2,,
13,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Aoyagicho,Gifu,30-60minutes,30,60,7000000,,105,0,66000.0,220000.0,Semi-rectangular Shaped,6.0,False,,0,,0,,,House,Southwest,City Road,6.0,Category II Residential Zone,60.0,200.0,4th quarter 2014,2014,4,,
14,Residential Land(Land and Building),Residential Area,21201,Gifu Prefecture,Gifu City,Aoyagicho,Gifu,30-60minutes,30,60,20000000,,280,0,,,Rectangular Shaped,10.5,False,480,0,1969,0,RC,"Housing Complex, Shop",House,West,City Road,6.6,Category II Residential Zone,60.0,200.0,3rd quarter 2014,2014,3,,
15,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Aoyagicho,Gifu,30-60minutes,30,60,3200000,,65,0,48000.0,160000.0,Rectangular Shaped,4.5,False,,0,,0,,,,Southwest,City Road,6.0,Category II Residential Zone,60.0,200.0,1st quarter 2014,2014,1,,
16,Residential Land(Land and Building),Residential Area,21201,Gifu Prefecture,Gifu City,Aoyagicho,Gifu,30-60minutes,30,60,10000000,,340,0,,,Trapezoidal Shaped,19.0,False,1500,0,1966,0,RC,"House, Housing Complex, Office, Parking Lot, Shop",House,Northwest,City Road,6.0,Category II Residential Zone,60.0,200.0,1st quarter 2014,2014,1,,
17,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,12000000,,165,0,71000.0,230000.0,Rectangular Shaped,11.0,False,,0,,0,,,House,South,Private Road,4.0,Quasi-industrial Zone,60.0,200.0,3rd quarter 2019,2019,3,,
18,Residential Land(Land and Building),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,15000000,,155,0,,,Semi-rectangular Shaped,7.2,False,120,0,1997,0,W,House,House,South,City Road,5.8,Category I Residential Zone,60.0,200.0,2nd quarter 2019,2019,2,,
19,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,9000000,,165,0,55000.0,180000.0,Rectangular Shaped,8.5,False,,0,,0,,,House,North,Road,6.0,Category I Residential Zone,60.0,200.0,1st quarter 2019,2019,1,,
20,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,58000000,,1600,0,36000.0,120000.0,Semi-square Shaped,36.5,False,,0,,0,,,,West,City Road,6.5,Quasi-industrial Zone,60.0,200.0,1st quarter 2019,2019,1,,
21,Residential Land(Land and Building),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,35000000,,195,0,,,Rectangular Shaped,,False,100,0,2018,0,W,House,House,West,Road,4.0,Quasi-industrial Zone,60.0,200.0,1st quarter 2019,2019,1,,
22,Residential Land(Land Only),Potential Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,31000000,,810,0,38000.0,120000.0,Rectangular Shaped,19.0,False,,0,,0,,,,West,City Road,6.0,Quasi-industrial Zone,60.0,200.0,4th quarter 2018,2018,4,,
23,Residential Land(Land and Building),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,30000000,,220,0,,,Rectangular Shaped,9.0,False,115,0,2018,0,W,House,House,North,City Road,5.5,Quasi-industrial Zone,60.0,200.0,1st quarter 2018,2018,1,,
24,Residential Land(Land and Building),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,30000000,,145,0,,,Semi-rectangular Shaped,12.0,False,115,0,2017,0,W,House,House,East,City Road,6.5,Quasi-industrial Zone,60.0,200.0,4th quarter 2017,2017,4,,
25,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,12000000,,150,0,78000.0,260000.0,Rectangular Shaped,14.0,False,,0,,0,,,Other,West,City Road,6.6,Quasi-industrial Zone,60.0,200.0,3rd quarter 2017,2017,3,,
26,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,26000000,,810,0,33000.0,110000.0,Rectangular Shaped,18.1,False,,0,,0,,,,West,City Road,6.7,Quasi-industrial Zone,60.0,200.0,2nd quarter 2017,2017,2,,
27,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,10000000,,165,0,60000.0,200000.0,Rectangular Shaped,11.5,False,,0,,0,,,House,South,Private Road,4.0,Quasi-industrial Zone,60.0,200.0,2nd quarter 2017,2017,2,,
28,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,24000000,,810,0,30000.0,100000.0,Rectangular Shaped,17.9,False,,0,,0,,,,East,City Road,6.5,Quasi-industrial Zone,60.0,200.0,1st quarter 2017,2017,1,,
29,Residential Land(Land and Building),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,33000000,,130,0,,,Rectangular Shaped,10.6,False,105,0,2015,0,W,House,House,South,City Road,5.4,Category I Residential Zone,60.0,200.0,1st quarter 2016,2016,1,,
30,"Pre-owned Condominiums, etc.",,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,12000000,3LDK,65,0,,,,,False,,0,1995,0,RC,House,,,,,Quasi-industrial Zone,60.0,200.0,1st quarter 2016,2016,1,Done,
31,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,10000000,,150,0,68000.0,230000.0,Semi-rectangular Shaped,15.8,False,,0,,0,,,House,North,Private Road,4.0,Quasi-industrial Zone,60.0,200.0,4th quarter 2015,2015,4,,Dealings including private road
32,Residential Land(Land and Building),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,35000000,,150,0,,,Semi-square Shaped,12.0,False,115,0,2015,0,W,House,House,South,City Road,5.5,Category I Residential Zone,60.0,200.0,4th quarter 2015,2015,4,,
33,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,14000000,,220,0,64000.0,210000.0,Rectangular Shaped,9.0,False,,0,,0,,,House,North,City Road,6.0,Quasi-industrial Zone,60.0,200.0,3rd quarter 2015,2015,3,,
34,Residential Land(Land and Building),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,37000000,,150,0,,,Semi-rectangular Shaped,16.0,False,,0,,0,,,House,South,Private Road,4.0,Quasi-industrial Zone,60.0,200.0,1st quarter 2015,2015,1,,
35,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,9900000,,155,0,63000.0,210000.0,Semi-rectangular Shaped,7.5,False,,0,,0,,,House,South,Private Road,4.0,Quasi-industrial Zone,60.0,200.0,3rd quarter 2014,2014,3,,
36,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeokawa,Gifu,30-60minutes,30,60,9400000,,150,0,63000.0,210000.0,Square Shaped,,False,,0,,0,,,House,East,Private Road,4.0,Quasi-industrial Zone,60.0,200.0,2nd quarter 2014,2014,2,,
37,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeono,Gifu,21,21,21,9000000,,590,0,15000.0,50000.0,Semi-shaped,17.0,False,,0,,0,,,Other,South,Private Road,1.0,Category I Residential Zone,60.0,200.0,4th quarter 2018,2018,4,,
38,Residential Land(Land and Building),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeono,Gifu,21,21,21,15000000,,420,0,,,Irregular Shaped,20.0,False,290,0,1972,0,S,,Other,North,City Road,4.5,Category I Residential Zone,60.0,200.0,4th quarter 2018,2018,4,,
39,Residential Land(Land and Building),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeono,Gifu,21,21,21,1500000,,60,0,,,Semi-rectangular Shaped,5.5,False,35,0,1979,0,W,House,House,South,City Road,4.6,Category I Residential Zone,60.0,200.0,3rd quarter 2018,2018,3,,
40,Residential Land(Land and Building),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeono,Gifu,21,21,21,3300000,,75,0,,,Semi-rectangular Shaped,6.0,False,,0,,0,,,Other,South,City Road,4.6,Category I Residential Zone,60.0,200.0,3rd quarter 2018,2018,3,,
41,Residential Land(Land and Building),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeono,Gifu,24,24,24,10000000,,200,0,,,Semi-rectangular Shaped,12.0,False,110,0,1985,0,W,House,House,West,City Road,4.5,Category I Residential Zone,60.0,200.0,3rd quarter 2018,2018,3,,
42,Residential Land(Land and Building),Commercial Area,21201,Gifu Prefecture,Gifu City,Akanabeono,Gifu,24,24,24,63000000,,1500,0,,,Rectangular Shaped,,False,55,0,1972,0,W,House,Warehouse,West,Prefectural Road,27.0,Neighborhood Commercial Zone,80.0,200.0,3rd quarter 2017,2017,3,,
43,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeono,Gifu,23,23,23,17000000,,240,0,72000.0,240000.0,Rectangular Shaped,12.0,False,,0,,0,,,Other,East,City Road,4.8,Category I Residential Zone,60.0,200.0,3rd quarter 2016,2016,3,,
44,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeono,Gifu,20,20,20,25000000,,700,0,36000.0,120000.0,Irregular Shaped,8.0,False,,0,,0,,,,West,City Road,7.0,Category I Residential Zone,60.0,200.0,4th quarter 2015,2015,4,,
45,Residential Land(Land and Building),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeono,Gifu,24,24,24,25000000,,360,0,,,Irregular Shaped,27.0,False,630,0,1985,0,S,"Office, Warehouse",House,West,City Road,4.6,Category I Residential Zone,60.0,200.0,3rd quarter 2015,2015,3,,
46,Residential Land(Land Only),Commercial Area,21201,Gifu Prefecture,Gifu City,Akanabeono,Gifu,24,24,24,11000000,,165,0,70000.0,230000.0,Semi-rectangular Shaped,10.0,False,,0,,0,,,,West,Prefectural Road,27.0,Neighborhood Commercial Zone,80.0,200.0,1st quarter 2015,2015,1,,
47,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeono,Gifu,21,21,21,11000000,,240,0,45000.0,150000.0,Semi-rectangular Shaped,11.0,False,,0,,0,,,House,Southwest,Road,3.0,Category I Residential Zone,60.0,200.0,3rd quarter 2014,2014,3,,
48,Residential Land(Land Only),Residential Area,21201,Gifu Prefecture,Gifu City,Akanabeono,Gifu,21,21,21,11000000,,220,0,49000.0,160000.0,Semi-rectangular Shaped,10.7,False,,0,,0,,,,Southwest,City Road,8.0,Category I Residential Zone,60.0,200.0,1st quarter 2014,2014,1,,
